000616,海航投资,2.41,0.06,2.55
000617,中油资本,10.75,0.65,6.44
000619,海螺型材,5.19,0.04,0.78
000620,新华联,3.91,0.03,0.77
000622,恒立实业,7.51,-0.61,-7.51
000623,吉林敖东,14.43,0.02,0.14
000625,长安汽车,6.59,0.11,1.70
000626,远大控股,6.44,0.05,0.78
000627,天茂集团,5.61,0.00,0.00
000628,高新发展,9.87,0.03,0.30
000629,攀钢钒钛,3.00,0.00,0.00
000630,铜陵有色,1.97,0.00,0.00
000631,顺发恒业,2.97,0.04,1.37
000632,三木集团,3.86,0.14,3.76
000633,合金投资,4.59,0.42,10.07
000635,英力特,8.50,0.04,0.47
000636,风华高科,10.74,-0.24,-2.19
000637,茂化实华,3.75,0.01,0.27
000638,万方发展,5.55,-0.13,-2.29
000639,西王食品,6.41,-0.02,-0.31
000650,仁和药业,5.48,-0.30,-5.19
000651,格力电器,35.69,0.01,0.03
000652,泰达股份,3.01,0.03,1.01
000655,*ST金岭,3.37,0.09,2.74
000656,金科股份,6.19,0.02,0.32
000657,中钨高新,5.32,0.05,0.95
000659,珠海中富,4.10,-0.04,-0.97
000661,长春高新,175.00,-0.88,-0.50
000662,天夏智慧,6.18,0.56,9.96
000663,永安林业,5.96,0.01,0.17
000665,湖北广电,7.16,-0.04,-0.56
000666,经纬纺机,10.78,0.62,6.10
000667,美好置业,2.50,0.01,0.40
000668,荣丰控股,9.90,-0.24,-2.37
000669,金鸿控股,5.85,-0.16,-2.66
000670,盈方微,3.18,0.01,0.32
000671,阳光城,5.19,0.02,0.39
000672,上峰水泥,8.44,0.03,0.36
000673,当代东方,4.69,0.01,0.21
000676,智度股份,9.49,0.12,1.28
000677,恒天海龙,2.60,0.04,1.56
000678,襄阳轴承,5.00,0.01,0.20
000679,大连友谊,3.85,-0.03,-0.77
000680,山推股份,3.27,0.04,1.24
000681,视觉中国,23.32,0.12,0.52
000682,东方电子,3.31,-0.03,-0.90
000683,远兴能源,2.37,0.00,0.00
000685,中山公用,7.00,0.06,0.86
000686,东北证券,6.26,0.10,1.62
000687,华讯方舟,7.10,-0.22,-3.01
000688,国城矿业,11.54,0.03,0.26
000690,宝新能源,6.73,0.03,0.45
000691,亚太实业,4.58,0.05,1.10
000692,惠天热电,2.56,-0.03,-1.16
000695,滨海能源,9.00,0.24,2.74
000697,炼石航空,12.39,-0.13,-1.04
000698,沈阳化工,3.64,0.02,0.55
000700,模塑科技,2.95,0.02,0.68
000701,厦门信达,6.06,0.04,0.66
000702,正虹科技,5.56,0.39,7.54
000703,恒逸石化,11.52,0.00,0.00
000705,浙江震元,6.06,-0.01,-0.16
000707,*ST双环,2.89,0.09,3.21
000709,河钢股份,2.84,0.01,0.35
000710,贝瑞基因,31.90,0.13,0.41
000711,京蓝科技,6.23,0.15,2.47
000712,锦龙股份,9.08,0.16,1.79
000713,丰乐种业,4.58,-0.03,-0.65
000715,中兴商业,5.81,0.08,1.40
000716,黑芝麻,2.79,-0.01,-0.36
000717,韶钢松山,4.55,-0.02,-0.44
000718,苏宁环球,3.18,0.02,0.63
000719,中原传媒,7.87,0.21,2.74
000720,*ST新能,3.47,0.09,2.66
000721,西安饮食,3.97,0.00,0.00
000722,湖南发展,6.03,0.17,2.90
000723,美锦能源,3.21,0.09,2.88
000725,京东方A,2.63,0.00,0.00
000726,鲁泰A,9.71,-0.01,-0.10
000727,华东科技,1.47,-0.01,-0.68
000728,国元证券,6.98,0.18,2.65
000729,燕京啤酒,5.64,-0.01,-0.18
000731,四川美丰,5.02,0.02,0.40
000732,泰禾集团,14.02,-0.01,-0.07
000733,振华科技,10.94,-0.07,-0.64
000735,罗牛山,9.66,0.67,7.45
000736,中交地产,7.43,0.12,1.64
000737,*ST南风,2.83,0.05,1.80
000738,航发控制,12.06,0.06,0.50
000739,普洛药业,7.44,0.07,0.95
000750,国海证券,4.36,0.32,7.92
000751,锌业股份,2.85,0.01,0.35
000752,西藏发展,7.05,0.01,0.14
000753,漳州发展,2.94,0.00,0.00
000755,山西路桥,3.98,-0.01,-0.25
000756,新华制药,5.55,-0.02,-0.36
000757,浩物股份,5.26,0.11,2.14
000758,中色股份,3.65,0.02,0.55
000759,中百集团,5.28,0.02,0.38
000760,斯太尔,3.29,-0.01,-0.30
000761,本钢板材,3.36,-0.03,-0.88
000762,西藏矿业,6.74,0.03,0.45
000766,通化金马,6.86,0.13,1.93
000767,漳泽电力,2.47,0.01,0.41
000768,中航飞机,13.24,0.06,0.46
000776,广发证券,12.68,0.27,2.18
000777,中核科技,10.03,0.04,0.40
000778,新兴铸管,4.31,0.04,0.94
000779,三毛派神,8.67,0.00,0.00
000780,平庄能源,3.00,-0.01,-0.33
000782,美达股份,4.27,0.04,0.95
000783,长江证券,5.15,0.14,2.79
000785,武汉中商,6.53,0.13,2.03
000786,北新建材,13.76,-0.26,-1.85
000788,北大医药,5.22,0.01,0.19
000789,万年青,10.89,-0.01,-0.09
000790,泰合健康,4.06,0.03,0.74
000791,甘肃电投,5.06,0.04,0.80
000792,盐湖股份,6.98,-0.25,-3.46
000793,华闻传媒,2.97,0.03,1.02
000795,英洛华,3.57,0.02,0.56
000796,凯撒旅游,6.64,-0.02,-0.30
000797,中国武夷,4.55,0.04,0.89
000798,中水渔业,5.20,0.05,0.97
000799,酒鬼酒,15.98,-0.10,-0.62
000800,一汽轿车,6.62,0.11,1.69
000801,四川九洲,4.33,-0.04,-0.92
000802,北京文化,11.07,-0.14,-1.25
000803,金宇车城,12.21,-0.18,-1.45
000806,银河生物,3.88,-0.11,-2.76
000807,云铝股份,3.88,0.00,0.00
000809,铁岭新城,2.35,0.02,0.86
000810,创维数字,5.56,0.06,1.09
000811,冰轮环境,5.17,-0.05,-0.96
000812,陕西金叶,3.46,0.10,2.98
000813,德展健康,9.18,-0.01,-0.11
000815,美利云,6.75,-0.08,-1.17
000816,*ST慧业,1.53,0.07,4.79
000818,航锦科技,9.23,0.08,0.87
000819,岳阳兴长,8.83,-0.01,-0.11
000820,神雾节能,5.59,-0.06,-1.06
000821,京山轻机,7.66,0.03,0.39
000822,山东海化,4.85,0.00,0.00
000823,超声电子,7.80,-0.10,-1.27
000825,太钢不锈,4.14,-0.01,-0.24
000826,启迪桑德,10.39,0.19,1.86
000828,东莞控股,7.47,0.12,1.63
000829,天音控股,5.61,0.23,4.28
000830,鲁西化工,9.80,-0.22,-2.20
000831,五矿稀土,8.37,0.05,0.60
000833,粤桂股份,4.56,-0.01,-0.22
000835,长城动漫,4.16,-0.20,-4.59
000836,富通鑫茂,3.89,-0.06,-1.52
000837,秦川机床,3.93,-0.03,-0.76
000838,财信发展,2.93,0.01,0.34
000839,中信国安,3.37,-0.05,-1.46
000848,承德露露,8.04,0.15,1.90
000850,华茂股份,3.20,0.03,0.95
000851,高鸿股份,4.76,-0.23,-4.61
000852,石化机械,7.16,-0.28,-3.76
000856,冀东装备,14.40,0.25,1.77
000858,五粮液,50.88,0.73,1.46
000859,国风塑业,2.84,0.02,0.71
000860,顺鑫农业,31.89,0.21,0.66
000861,海印股份,2.51,0.07,2.87
000862,银星能源,2.96,0.01,0.34
000863,三湘印象,3.91,-0.02,-0.51
000868,安凯客车,3.70,0.09,2.49
000869,张裕A,26.00,-0.01,-0.04
000875,吉电股份,2.45,0.03,1.24
000876,新希望,7.28,0.09,1.25
000877,天山股份,7.11,0.06,0.85
000878,云南铜业,7.93,0.02,0.25
000880,潍柴重机,7.20,0.04,0.56
000881,中广核技,6.72,0.05,0.75
000882,华联股份,2.23,0.02,0.90
000883,湖北能源,3.67,0.05,1.38
000885,城发环境,7.17,0.01,0.14
000886,海南高速,3.75,0.08,2.18
000887,中鼎股份,10.12,-0.07,-0.69
000888,峨眉山A,5.66,-0.04,-0.70
000889,中嘉博创,10.20,0.30,3.03
000890,法尔胜,4.40,0.11,2.56
000892,欢瑞世纪,4.76,-0.07,-1.45
000893,*ST东凌,4.31,0.06,1.41
000895,双汇发展,23.59,-0.30,-1.26
000897,津滨发展,2.33,0.03,1.30
000898,鞍钢股份,5.13,0.08,1.58
000899,赣能股份,4.38,0.05,1.15
000900,现代投资,3.89,-0.01,-0.26
000901,航天科技,8.84,0.01,0.11
000902,新洋丰,8.96,0.28,3.23
000903,云内动力,2.40,0.01,0.42
000905,厦门港务,6.06,0.14,2.36
000906,浙商中拓,4.89,0.03,0.62
000908,景峰医药,4.44,0.08,1.83
000909,数源科技,6.62,0.05,0.76
000910,大亚圣象,10.31,0.01,0.10
000911,南宁糖业,5.47,-0.13,-2.32
000912,*ST天化,4.74,-0.25,-5.01
000913,钱江摩托,9.16,0.10,1.10
000915,山大华特,14.80,-0.14,-0.94
000917,电广传媒,6.92,-0.03,-0.43
000918,嘉凯城,7.62,0.12,1.60
000919,金陵药业,6.27,0.04,0.64
000920,南方汇通,5.18,0.01,0.19
000921,海信家电,7.07,0.16,2.32
000922,佳电股份,6.71,0.01,0.15
000923,河北宣工,13.60,0.42,3.19
000925,众合科技,5.85,0.01,0.17
000926,福星股份,6.12,0.02,0.33
000927,一汽夏利,3.15,0.04,1.29
000928,中钢国际,4.35,0.12,2.84
000929,兰州黄河,6.21,-0.06,-0.96
000930,中粮生化,7.42,-0.23,-3.01
000931,中关村,6.92,0.04,0.58
000932,华菱钢铁,6.06,-0.05,-0.82
000933,神火股份,3.90,0.02,0.52
000935,四川双马,15.04,0.10,0.67
000936,华西股份,6.12,0.13,2.17
000937,冀中能源,3.77,-0.01,-0.26
000938,紫光股份,31.26,-0.03,-0.10
000939,*ST凯迪,1.21,0.06,5.22
000948,南天信息,9.54,0.34,3.70
000949,新乡化纤,2.68,0.08,3.08
000950,重药控股,5.02,0.02,0.40
000951,中国重汽,11.14,-0.13,-1.15
000952,广济药业,9.94,0.03,0.30
000953,ST河化,3.89,0.04,1.04
000955,欣龙控股,4.05,0.06,1.50
000957,中通客车,4.45,0.01,0.23
000958,东方能源,3.22,0.00,0.00
000959,首钢股份,3.73,-0.03,-0.80
000960,锡业股份,9.54,-0.07,-0.73
000961,中南建设,5.61,-0.09,-1.58
000962,东方钽业,6.13,0.10,1.66
000963,华东医药,26.46,-0.12,-0.45
000965,天保基建,3.85,-0.04,-1.03
000966,长源电力,3.51,0.00,0.00
000967,盈峰环境,5.65,0.00,0.00
000968,蓝焰控股,10.65,0.11,1.04
000969,安泰科技,4.55,0.03,0.66
000970,中科三环,7.33,-0.15,-2.01
000971,高升控股,3.32,-0.30,-8.29
000972,ST中基,2.78,0.02,0.72
000973,佛塑科技,3.21,-0.04,-1.23
